Tên Chung Cư,Số,Ngõ,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích ( m²),Mức giá ( tỷ),Hướng nhà,Hướng ban công,Phòng ngủ,Toilet,,,,,,,,,
 Miếu Nổi, ,, Vũ Huy Tấn,3, Bình Thạnh,133,18,"Đông - Nam
",Đông - Bắc,3,2,,,,,,,,,
 The River Thủ Thiêm, ,, Nguyễn Cơ Thạch,An Khánh, Quận 2,61.3,2.8,"Đông - Nam
",Đông - Bắc,2,2,,,,,,,,,
 Miếu Nổi, ,, Vũ Huy Tấn,3, Bình Thạnh,170,33,"Đông - Nam
",Đông - Bắc,4,3,,,,,,,,,
 The Metropole,,,,An Khánh, Quận 2,68,2.79,"Đông - Nam
",Đông - Bắc,2,3,,,,,,,,,
 M-One Nam Sài Gòn, ,, Bế Văn Cấm,Tân Kiểng, Quận 7,110,2.5,"Đông - Nam
",Đông - Bắc,3,2,,,,,,,,,
 Hoàng Anh An Tiến - Gold House, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,50,6.2,"Đông - Nam
","Tây - Bắc
",1,2,,,,,,,,,
 The Metropole,,,,An Khánh, Quận 2,61,2.6,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 M-One Nam Sài Gòn,,, Bế Văn Cấm,Tân Kiểng, Quận 7,57,1.43,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 Dream Home Riverside, ,, Nguyễn Văn Linh,7, Quận 8,55,2.5,"Tây - Nam
 ",Đông - Bắc,1,2,,,,,,,,,
Chung cư Mỹ Đức,220,, Xô Viết Nghệ Tĩnh,21, Bình Thạnh,64,7.2,"Đông - Nam
","Tây - Nam
",1,1,,,,,,,,,
 Empire City Thủ Thiêm, ,, Mai Chí Thọ,Thủ Thiêm, Quận 2,65,2.6,"Bắc
 
 
 
 ","Nam
 
 
 
",2,1,,,,,,,,,
 Moonlight Park View, ,, Số 7,An Lạc A, Bình Tân,150,6,"Tây - Bắc
 ",Đông - Nam,3,1,,,,,,,,,
Sunny Plaza,110,, Phạm Văn Đồng,3, Gò Vấp,98,13.5,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Empire City Thủ Thiêm, ,, Mai Chí Thọ,Thủ Thiêm, Quận 2,133,6.4,"Tây - Nam
 ","Tây - Nam
",3,2,,,,,,,,,
 Star Hill,,,,Tân Phú, Quận 7,94,5.55,"Tây - Bắc
 ",Đông - Nam,3,3,,,,,,,,,
 The Peak,,,,Tân Phú, Quận 7,81,5.35,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Midtown Phú Mỹ Hưng,,,,Tân Phú, Quận 7,88,7,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Sadora Sala, ,, Mai Chí Thọ,, Quận 2,160,23,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 Sarica Condominium, ,, Nguyễn Cơ Thạch,An Lợi Đông, Quận 2,201,35,"Đông - Bắc
","Tây - Nam
",4,3,,,,,,,,,
 Zeit River Thủ Thiêm ,,,,Thủ Thiêm, Quận 2,88,8.8,"Đông - Bắc
","Tây - Nam
",2,3,,,,,,,,,
 Sarimi Sala,,,,An Lợi Đông, Quận 2,70,2.7,"Bắc
 
 
 
 ",Đông - Nam,2,2,,,,,,,,,
 Moonlight Boulevard, ,, Kinh Dương Vương,An Lạc A, Bình Tân,65,2.35,"Bắc
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 RichStar, ,, Hòa Bình,Hiệp Tân, Tân Phú,28,1.8,Đông - Nam,,1,2,,,,,,,,,
 River Gate, ,, Bến Vân Đồn,6, Quận 4,56,2.3,"Nam
 
 
 
 ",,2,1,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,99,3.9,"Nam
 
 
 
 ","Tây - Bắc
",3,1,,,,,,,,,
 MT Eastmark City, ,, Trường Lưu,Long Trường, Quận 9,53,1.9,"Nam
 
 
 
 ","Tây - Bắc
",1,3,,,,,,,,,
 Căn hộ Ricca Quận 9, ,, Gò Cát,Phú Hữu, Quận 9,45,1.54,"Nam
 
 
 
 ","Tây - Bắc
",1,1,,,,,,,,,
 The Era Town, ,, 15B,Phú Mỹ, Quận 7,90,1.8,"Nam
 
 
 
 ","Tây - Bắc
",2,1,,,,,,,,,
 The Era Town,,,,Phú Mỹ, Quận 7,65,2.5,"Nam
 
 
 
 ","Tây - Bắc
",2,2,,,,,,,,,
 RichStar, ,, Hòa Bình,Hiệp Tân, Tân Phú,99,4.05,"Nam
 
 
 
 ","Tây - Bắc
",3,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,50,7.56,"Đông - Bắc
","Tây - Bắc
",1,2,,,,,,,,,
 The Marq, ,, Nguyễn Đình Chiểu,Đa Kao, Quận 1,61,2.7,"Đông - Bắc
","Tây - Nam
",2,,,,,,,,,,
 Green Field, ,, Xô Viết Nghệ Tĩnh,25, Bình Thạnh,53,2.25,"Đông - Bắc
","Tây - Nam
",1,,,,,,,,,,
Chung cư Mỹ Đức,220,, Xô Viết Nghệ Tĩnh,21, Bình Thạnh,70,4.8,Đông - Nam,,2,1,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,56,2.35,Đông - Nam,,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,84,3.5,Đông - Nam,,3,,,,,,,,,,
 RichStar, ,, Hòa Bình,Hiệp Tân, Tân Phú,72,3,Đông - Nam,,2,,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,70,1.8,Đông - Nam,,2,,,,,,,,,,
78, ,, Kinh Dương Vương,13, Quận 6,70,1.8,Đông - Nam,,2,1,,,,,,,,,
78, ,, Kinh Dương Vương,13, Quận 6,56,2.4,"Đông - Bắc
",Đông - Bắc,2,1,,,,,,,,,
 Akari City Nam Long, ,, Võ Văn Kiệt,An Lạc, Bình Tân,49,1.4,"Đông - Bắc
",Đông - Bắc,1,1,,,,,,,,,
 Green Town Bình Tân, ,,3,Bình Hưng Hòa B, Bình Tân,69,2.4,"Đông - Bắc
",Đông - Bắc,2,1,,,,,,,,,
 Vinhomes Grand Park,,,,Long Thạnh Mỹ, Quận 9,55,4.3,"Đông - Bắc
",Đông - Bắc,1,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,73.91,4.211,"Đông - Bắc
",Đông - Bắc,2,1,,,,,,,,,
 Lumiere Boulevard, ,, Nguyễn Xiển,Long Bình, Quận 9,65,3.95,"Đông - Bắc
",Đông - Bắc,2,,,,,,,,,,
 Tropic Garden, ,,66,Thảo Điền, Quận 2,50,4.9,"Đông - Bắc
",Đông - Bắc,1,2,,,,,,,,,
 Vinhomes Golden River Ba Son,,,,Bến Nghé, Quận 1,71,2.15,"Đông - Bắc
",Đông - Nam,2,1,,,,,,,,,
 Orchard Garden,,,,, Quận Phú Nhuận,60,1.48,"Đông - Bắc
",Đông - Nam,2,2,,,,,,,,,
 Ehome S, ,, Đỗ Xuân Hợp,Phú Hữu, Quận 9,36,1.85,"Đông - Bắc
",Đông - Nam,1,2,,,,,,,,,
 The Manor HCM, ,, Nguyễn Hữu Cảnh,22, Bình Thạnh,37,2.7,"Đông - Bắc
",Đông - Nam,1,1,,,,,,,,,
 Avatar Thủ Đức, ,, Số 1,Trường Thọ, Thủ Đức,65,2.4,"Đông - Bắc
",Đông - Nam,2,1,,,,,,,,,
 RichStar, ,, Hòa Bình,Hiệp Tân, Tân Phú,146,5.699,"Đông - Bắc
",Đông - Nam,4,2,,,,,,,,,
 River Panorama, ,, Hoàng Quốc Việt,Phú Thuận, Quận 7,91,5,"Đông - Bắc
",Đông - Nam,2,3,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,113,4.49,"Đông - Nam
",Đông - Nam,3,2,,,,,,,,,
 Westgate, ,, Tân Túc,, Bình Chánh,226,9.98,"Đông - Nam
",Đông - Nam,4,2,,,,,,,,,
River Panorama,89,, Hoàng Quốc Việt,Phú Thuận, Quận 7,85,3,"Đông - Nam
",Đông - Nam,3,,,,,,,,,,
 Westgate, ,, Tân Túc,, Bình Chánh,125,11.15,"Đông - Nam
","Tây - Bắc
",3,3,,,,,,,,,
 Estella Heights, ,, Song Hành,An Phú, Quận 2,101,3.85,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 Lexington Residence, ,, Mai Chí Thọ,An Phú, Quận 2,101,3.85,"Đông - Nam
","Tây - Bắc
",3,2,,,,,,,,,
 Lexington Residence, ,, Mai Chí Thọ,An Phú, Quận 2,120,4,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 The Peak, ,, Tân Phú,Tân Phú, Quận 7,102,8.73,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Estella Heights, ,, Song Hành,An Phú, Quận 2,59,2.005,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Westgate, ,, Nguyễn Văn Linh,, Bình Chánh,80,5.4,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,59,2.1,Đông - Nam,"Nam
 
 
 
",2,2,,,,,,,,,
 Westgate, ,, Tân Túc,, Bình Chánh,132,7,"Tây - Bắc
 ","Nam
 
 
 
",2,2,,,,,,,,,
 Thảo Điền Pearl, ,, Quốc Hương,Thảo Điền, Quận 2,113,3.8,"Tây - Bắc
 ","Nam
 
 
 
",3,2,,,,,,,,,
 Westgate, ,, Tân Túc,, Bình Chánh,75,1.85,"Tây - Bắc
 ","Nam
 
 
 
",2,2,,,,,,,,,
 Orchid Park, ,, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,120,6,"Tây - Bắc
 ","Nam
 
 
 
",3,2,,,,,,,,,
 Sunrise City, ,, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,52,2.7,"Tây - Bắc
 ","Nam
 
 
 
",2,3,,,,,,,,,
 Miếu Nổi, ,, Vũ Huy Tấn,3, Bình Thạnh,72,2.7,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,64,3.85,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,56,2.349,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Akari City Nam Long, ,, Võ Văn Kiệt,An Lạc, Bình Tân,130,12.4,"Đông - Nam
","Tây - Bắc
",3,1,,,,,,,,,
 Estella Heights, ,, Song Hành,An Phú, Quận 2,80,4.1,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Elysian, ,, Lò Lu,Trường Thạnh, Quận 9,91,5.1,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 The View Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,72.18,4.6,"Đông
 
 
 
","Tây - Nam
",2,2,,,,,,,,,
 Lumiere Boulevard, ,, Nguyễn Xiển,Long Bình, Quận 9,152,12.5,"Đông
 
 
 
","Tây - Nam
",2,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,148,7.85,"Đông
 
 
 
","Tây - Nam
",3,2,,,,,,,,,
 The View Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,152,12.5,"Đông
 
 
 
","Tây - Nam
",2,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,148,7.85,"Tây - Bắc
 ",Đông - Nam,3,2,,,,,,,,,
 The View Riviera Point, ,, Huỳnh Tấn Phát,Tân Phú, Quận 7,55.86,4.1,"Tây - Bắc
 ",Đông - Nam,1,2,,,,,,,,,
 One Verandah Mapletree, ,, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,96,5.3,"Tây - Bắc
 ",Đông - Nam,2,,,,,,,,,,
 PN-Techcons, ,, Hoa Sứ,7, Phú Nhuận,53,3.4,"Tây - Bắc
 ",Đông - Nam,1,2,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,70,2.8,"Đông - Bắc
",Đông - Nam,2,1,,,,,,,,,
 Sunrise Riverside, ,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,50,4.9,"Đông - Nam
",Đông - Nam,1,2,,,,,,,,,
 The Beverly Solari - Vinhomes Grand Park,,,,Long Thạnh Mỹ, Quận 9,73,2.15,"Đông - Nam
",Đông - Bắc,2,2,,,,,,,,,
 The Park Residence,,, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,69,4.5,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Masteri Thảo Điền,,,,, Quận 2,122,3.55,"Tây - Bắc
 ",Đông - Nam,3,2,,,,,,,,,
Chung cư Phúc Yên,31,, Phan Huy Ích,15, Tân Bình,103,9,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 City Garden, ,, Ngô Tất Tố,21, Bình Thạnh,93,2.75,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 PiCity High Park, ,, Thạnh Xuân 13,Thạnh Xuân, Quận 12,75,4.35,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,101,6.1,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Feliz En Vista, ,, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,99,6,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 The Estella, ,, Xa Lộ Hà Nội,"An Phú, Quận 2",,114,3.08,"Đông - Bắc
","Nam
 
 
 
",3,2,,,,,,,,,
 Hoàng Anh Thanh Bình, ,, D4,Tân Hưng, Quận 7,123,7.5,"Đông - Bắc
","Nam
 
 
 
",3,2,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,114,3.08,"Đông - Bắc
","Nam
 
 
 
",3,3,,,,,,,,,
 Hoàng Anh Thanh Bình, ,, D4,Tân Hưng, Quận 7,123,7.5,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,200,14,"Đông - Bắc
","Tây - Nam
",4,3,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,161,2.45,"Đông
 
 
 
",Đông - Nam,3,4,,,,,,,,,
 The Era Town,,,,"Phú Mỹ, Quận 7",,50,2.15,"Tây - Bắc
 ",Đông - Nam,1,4,,,,,,,,,
 Safira Khang Điền, ,, Võ Chí Công,Phú Hữu, Quận 9,171,12.5,"Tây - Bắc
 ",Đông - Nam,4,1,,,,,,,,,
 The Estella, ,, Xa Lộ Hà Nội,An Phú, Quận 2,161,14,"Đông - Nam
","Tây - Bắc
",3,4,,,,,,,,,
 Vista Verde, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,84,4,"Bắc
 
 
 
 ","Tây - Nam
",2,3,,,,,,,,,
 Celadon City, ,, N1,Sơn Kỳ, Tân Phú,69,5.2,"Bắc
 
 
 
 ","Tây - Nam
",2,2,,,,,,,,,
 Orchard Garden, ,, Hồng Hà,9, Phú Nhuận,50,2.6,"Bắc
 
 
 
 ","Tây - Nam
",2,2,,,,,,,,,
 Căn hộ Precia Quận 2, ,, Nguyễn Thị Định,An Phú, Quận 2,96,5.5,"Đông - Nam
",Đông - Nam,1,2,,,,,,,,,
 Masteri Centre Point, ,, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,71,2.15,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
 Sunshine Sky City ,,,,, Quận 7,53,2.45,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 RichStar, ,, Hòa Bình,Hiệp Tân, Tân Phú,102,7.3,"Tây - Bắc
 ",Đông - Nam,3,1,,,,,,,,,
 Newton Residence, ,, Trương Quốc Dung,8, Phú Nhuận,49,3,"Tây - Bắc
 ",Đông - Nam,1,3,,,,,,,,,
 Căn hộ Precia Quận 2, ,, Nguyễn Thị Định,An Phú, Quận 2,59,2.55,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
 The Origami, ,, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,50,1.2,"Nam
 
 
 
 ",Đông - Nam,2,2,,,,,,,,,
 Tân Mai, ,, Quốc lộ 1A,Tân Tạo, Bình Tân,68,1.65,"Tây - Bắc
 ",Đông - Nam,2,1,,,,,,,,,
 Tân Mai, ,, Quốc lộ 1A,Tân Tạo, Bình Tân,50,1.29,"Tây - Bắc
 ",Đông - Nam,1,,,,,,,,,,
 Tân Mai, ,, Quốc lộ 1A,Tân Tạo, Bình Tân,72,3.6,"Tây - Bắc
 ",Đông - Nam,2,,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,50,1.29,"Tây - Bắc
 ",Đông - Nam,1,2,,,,,,,,,
 Tân Mai, ,, Quốc lộ 1A,Tân Tạo, Bình Tân,72,3.6,"Tây - Bắc
 ",Đông - Nam,2,,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,77,5.25,"Bắc
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 ST Moritz Phạm Văn Đồng, ,, Phạm Văn Đồng,Hiệp Bình Chánh, Thủ Đức,70,4,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,72,3.816,"Bắc
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,58,4.2,"Tây - Nam
 ",Đông - Bắc,1,2,,,,,,,,,
 Feliz En Vista, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,70,4.029,"Tây - Nam
 ",Đông - Bắc,2,1,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,60,3.24,"Tây - Bắc
 ",Đông - Nam,2,2,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,79,3.2,"Đông - Bắc
","Tây - Nam
",2,2,,,,,,,,,
 The Beverly - Vinhomes Grand Park,,,,Long Thạnh Mỹ, Quận 9,95,4.7,"Đông - Bắc
","Tây - Nam
",3,2,,,,,,,,,
 Eco Green Sài Gòn, ,, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,79,4.05,Đông - Nam,,2,2,,,,,,,,,
 The Beverly - Vinhomes Grand Park,,,,Long Thạnh Mỹ, Quận 9,75,2.8,Đông - Nam,,2,2,,,,,,,,,
Homyland Riverside,403,, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,67,2.18,Đông - Nam,,2,2,,,,,,,,,
 La Astoria, ,, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,85,1.75,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 The Era Town,,,,Phú Mỹ, Quận 7,92,3.5,"Tây
 
 
 
 ","Đông
 
 
 ",3,2,,,,,,,,,
 Melody Residences 16 Âu Cơ, ,, Âu Cơ,Tân Sơn Nhì, Tân Phú,45,1.55,"Tây
 
 
 
 ","Đông
 
 
 ",1,2,,,,,,,,,
 The Era Town, ,, Nguyễn Lương Bằng,Phú Mỹ, Quận 7,70,4.9,"Tây
 
 
 
 ","Đông
 
 
 ",2,1,,,,,,,,,
 Orchard Garden, ,, Hồng Hà,9, Phú Nhuận,139,5.5,"Tây
 
 
 
 ","Đông
 
 
 ",3,2,,,,,,,,,
 Sky Center, ,, Phổ Quang,2, Tân Bình,68,3.4,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Rivera Park Sài Gòn, ,, Thành Thái,14, Quận 10,63,1.95,"Tây
 
 
 
 ","Đông
 
 
 ",2,1,,,,,,,,,
 Sky 9, ,, Liên Phường,Phú Hữu, Quận 9,63,1.95,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Sky 9, ,, Liên Phường,Phú Hữu, Quận 9,73,2.3,"Bắc
 
 
 
 ",Đông - Bắc,2,2,,,,,,,,,
 Q7 Saigon Riverside, ,, Đào Trí,Phú Thuận, Quận 7,85,6,"Bắc
 
 
 
 ",Đông - Bắc,3,2,,,,,,,,,
 Orchard Garden, ,, Hồng Hà,9, Phú Nhuận,122,4.9,"Bắc
 
 
 
 ",Đông - Bắc,3,2,,,,,,,,,
 Galaxy 9, ,, Nguyễn Khoái,2, Quận 4,68,3.8,"Bắc
 
 
 
 ",Đông - Bắc,2,3,,,,,,,,,
 D’Lusso, ,, Nguyễn Thị Định,An Phú, Quận 2,76,2.15,"Nam
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
Đường 48,,,48,3, Quận 4,101,4.8,"Nam
 
 
 
 ","Nam
 
 
 
",3,1,,,,,,,,,
 Star Hill,,,,Tân Phú, Quận 7,68,3.9,"Nam
 
 
 
 ","Nam
 
 
 
",2,2,,,,,,,,,
 D’Lusso, ,, Nguyễn Thị Định,An Phú, Quận 2,50,1.65,"Nam
 
 
 
 ","Nam
 
 
 
",1,2,,,,,,,,,
 Investco Babylon, ,, Âu Cơ,Tân Thành, Tân Phú,148,10.2,"Nam
 
 
 
 ","Nam
 
 
 
",3,1,,,,,,,,,
 The Estella, ,, Xa Lộ Hà Nội,An Phú, Quận 2,74,4,"Đông - Nam
",,2,3,,,,,,,,,
 D’Lusso, ,, Nguyễn Thị Định,An Phú, Quận 2,495,9,"Đông - Nam
",,4,2,,,,,,,,,
 Sky Garden II, ,, Nguyễn Văn Linh,Tân Phong, Quận 7,57,2.35,"Đông - Nam
",,2,3,,,,,,,,,
 Flora Novia, ,, Phạm Văn Đồng,Linh Tây, Thủ Đức,66,1.6,"Đông - Nam
",,2,2,,,,,,,,,
 Orchid Park, ,, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,75,2.5,"Đông - Nam
","Đông
 
 
 ",2,1,,,,,,,,,
 An Viên, ,, Trần Trọng Cung,Tân Thuận Đông, Quận 7,71,2.15,"Đông - Nam
","Đông
 
 
 ",2,2,,,,,,,,,
 HaDo Centrosa Garden,,,,, Quận 10,103.5,5.5,"Đông - Nam
","Đông
 
 
 ",3,2,,,,,,,,,
 Scenic Valley 1, ,, Tôn Dật Tiên,Tân Phú, Quận 7,75,1.75,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Orchid Park, ,, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,51.16,1.65,"Tây
 
 
 
 ","Đông
 
 
 ",2,2,,,,,,,,,
 Dream Home Palace, ,, Trịnh Quang Nghị,7, Quận 8,181,19,"Tây
 
 
 
 ","Đông
 
 
 ",4,3,,,,,,,,,
 Feliz En Vista, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,63,1.95,"Tây
 
 
 
 ","Đông
 
 
 ",2,3,,,,,,,,,
 Sky 9, ,, Liên Phường,Phú Hữu, Quận 9,75,1.75,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Orchid Park, ,, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,51.16,1.65,"Đông - Nam
","Tây - Bắc
",2,2,,,,,,,,,
 Dream Home Palace, ,, Trịnh Quang Nghị,7, Quận 8,181,19,"Đông - Nam
","Tây - Bắc
",4,3,,,,,,,,,
 Feliz En Vista, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,142,10.5,"Đông - Nam
","Tây - Bắc
",2,3,,,,,,,,,
 Feliz En Vista, ,, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,118,10.5,Đông - Nam,Đông - Nam,2,2,,,,,,,,,
 Feliz En Vista, ,, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,56,1.4,Đông - Nam,Đông - Nam,2,2,,,,,,,,,
 Dream Home Riverside, ,, Nguyễn Văn Linh,7, Quận 8,70,2.6,Đông - Nam,Đông - Nam,2,2,,,,,,,,,
 Bàu Cát II, ,, Hồng Lạc,10, Tân Bình,50,1.85,Đông - Nam,Đông - Nam,2,2,,,,,,,,,
 The Western Capital, ,, Lý Chiêu Hoàng,10, Quận 6,65,1.9,"Nam
 
 
 
 ",Đông - Nam,2,1,,,,,,,,,
 Topaz Garden, ,, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,72,2.6,"Nam
 
 
 
 ",Đông - Nam,2,2,,,,,,,,,
 Melody Residences 16 Âu Cơ, ,, Âu Cơ,Tân Sơn Nhì, Tân Phú,60,9,"Nam
 
 
 
 ","Bắc
 
 
 
",1,2,,,,,,,,,
 Zeit River Thủ Thiêm ,,,,Thủ Thiêm, Quận 2,50,2.4,"Nam
 
 
 
 ","Bắc
 
 
 
",1,1,,,,,,,,,
 Carillon 7, ,, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,122,7.2,"Nam
 
 
 
 ","Bắc
 
 
 
",3,1,,,,,,,,,
Saigon Pearl,92,, Nguyễn Hữu Cảnh,22, Bình Thạnh,71,2.7,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Carillon 7, ,, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,75,3.5,"Nam
 
 
 
 ","Bắc
 
 
 
",2,2,,,,,,,,,
 Hà Đô Nguyễn Văn Công, ,, Nguyễn Văn Công,3, Gò Vấp,50,1.698,"Đông
 
 
 
",,1,2,,,,,,,,,
 EhomeS Nam Sài Gòn,,,,, Bình Chánh,50,1.698,"Đông
 
 
 
",,1,1,,,,,,,,,
 EhomeS Nam Sài Gòn, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,50,1.698,"Đông
 
 
 
",,1,1,,,,,,,,,
 EhomeS Nam Sài Gòn,,,,, Bình Chánh,70,3.95,"Đông
 
 
 
","Tây - Bắc
",2,1,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,70,3.95,"Đông
 
 
 
","Tây - Bắc
",2,,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,50,1.698,"Đông
 
 
 
","Tây - Bắc
",1,,,,,,,,,,
 EhomeS Nam Sài Gòn, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,50,1.698,"Đông
 
 
 
","Tây - Bắc
",1,1,,,,,,,,,
 EhomeS Nam Sài Gòn,,,,, Bình Chánh,70,3.95,"Đông
 
 
 
","Tây - Bắc
",2,1,,,,,,,,,
 Masteri Thảo Điền, ,, Xa Lộ Hà Nội,Thảo Điền, Quận 2,50,1.698,"Đông
 
 
 
","Tây - Bắc
",1,,,,,,,,,,
 EhomeS Nam Sài Gòn, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,56,2.39,"Đông - Nam
","Tây - Bắc
",2,1,,,,,,,,,
 Mizuki Park, ,, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,70,3.99,"Tây - Nam
 ",Đông - Bắc,2,1,,,,,,,,,
