Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 Sunview Town, Gò Dưa,Hiệp Bình Phước, Thủ Đức,71.00,3.35,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,79.00,3.55,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,61.00,3.2,1.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,61.00,3.2,2.00,2
 The Peak,,Tân Phú, Quận 7,60.00,3.24,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,59.00,1.95,2.00,2
 The Peak,,Tân Phú, Quận 7,71.00,12.2,2.00,2
 The Metropole,,An Khánh, Quận 2,51.00,2.79,1.00,2
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,66.00,2.45,2.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,58.00,4.5,2.00,
 Terra Royal, Lý Chính Thắng,Võ Thị Sáu, Quận 3,75.00,3.4,2.00,1
 Cantavil An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,66.00,2.05,2.00,1
Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,58.00,1.75,2.00,2
 9 View Apartment, Tăng Nhơn Phú,Phước Long B, Quận 9,49.00,2.5,1.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,147.00,6.9,3.00,1
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,106.00,10.186,3.00,2
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,58.00,1.73,2.00,2
 Sunview Town, Gò Dưa,Hiệp Bình Phước, Thủ Đức,79.00,3.4,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,83.00,3.1,3.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,52.00,1.65,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,67.00,2.5,2.00,2
 Golden King, Nguyễn Lương Bằng,Tân Phú, Quận 7,72.00,2.7,2.00,1
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,56.00,2.35,2.00,2
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,86.00,3.4,3.00,1
 Mizuki Park, Nguyễn Văn Linh," Bình Hưng, Bình Chánh",,46.00,1.25,2.00,2
 Ehome S, Đỗ Xuân Hợp,Phú Hữu, Quận 9,71.00,2.91,3.00,2
 Saigon South Residences, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,89.00,6.4,2.00,2
The Antonia, Nguyễn Lương Bằng,Tân Phú, Quận 7,68.00,3.9,2.00,2
Wilton Tower, Nguyễn Văn Thương,25, Bình Thạnh,57.00,1.68,2.00,2
 Sunview Town, Gò Dưa,Hiệp Bình Phước, Thủ Đức,120.00,8,3.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,115.00,4.9,3.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,105.00,10.5,3.00,
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,100.00,2.3,2.00,2
 New Saigon Hoàng Anh 3, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,56.00,1.3,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,105.74,4.95,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,188.00,22,4.00,2
 D'Edge Thảo Điền, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,52.00,1.66,2.00,
 Citi Alto, Nguyễn Thị Định,Cát Lái, Quận 2,60.00,1.8,2.00,2
 9 View Apartment, Tăng Nhơn Phú,Phước Long B, Quận 9,50.00,1.85,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,81.00,3.6,2.00,1
The Gold View, Bến Vân Đồn,1, Quận 4,48.00,1.55,1.00,2
 Belleza Apartment, Phạm Hữu Lầu,Phú Mỹ, Quận 7,83.00,2.5,3.00,1
Hoàng Kim Thế Gia, Trương Phước Phan,Bình Trị Đông, Bình Tân,80.00,3.2,3.00,2
 Flora Novia, Phạm Văn Đồng,Linh Tây, Thủ Đức,75.00,4.5,2.00,2
 Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,75.00,2.5,2.00,2
Homyland 2, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,151.00,8.5,3.00,2
 Garden Plaza 1,,, Quận 7,55.00,3.7,1.00,2
 The Ascentia, Nguyễn Lương Bằng,Tân Phú, Quận 7,65.00,3.6,3.00,1
The Tresor, Bến Vân Đồn,12, Quận 4,85.00,5.8,2.00,2
