Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
Saigon Royal Residence, Bến Vân Đồn,12, Quận 4,90.00,4.95,3.00,2
ICON 56, Bến Vân Đồn,12, Quận 4,30.00,2.5,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,94.00,5.8,3.00,2
River Gate, Bến Vân Đồn,6, Quận 4,70.00,3.4,2.00,2
The Gold View, Bến Vân Đồn,1, Quận 4,39.00,1.25,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,39.00,1.25,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,118.00,4.3,3.00,1
 Mỹ Viên,,, Quận 7,76.00,2.2,2.00,2
 4S Riverside Linh Đông,30,"Linh Đông, Thủ Đức",,54.00,2.8,1.00,2
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,60.00,3,2.00,1
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,64.00,3.15,2.00,1
 Sài Gòn Mia, 9A, Bình Hưng, Bình Chánh,105.00,7.65,3.00,2
 The Signature,,Tân Phú, Quận 7,85.42,3.26,3.00,2
 Westgate, Tân Túc,, Bình Chánh,75.00,1.73,2.00,2
 Orchid Park, Nguyễn Lương Bằng, Phú Xuân, Nhà Bè,60.00,3.3,2.00,2
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,48.50,2,1.00,2
Lexington Residence, Mai Chí Thọ,An Phú, Quận 2,57.00,1.73,2.00,1
 Sunview Town, Gò Dưa,Hiệp Bình Phước, Thủ Đức,75.00,3.4,2.00,2
 Cantavil An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,73.00,2,2.00,1
 An Hội 3, Số 57,14, Gò Vấp,70.00,1.85,2.00,2
 Lê Thành, An Dương Vương,An Lạc, Bình Tân,69.00,3.3,2.00,2
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,63.00,2.7,2.00,2
 MT Eastmark City, Vành Đai 3,Long Trường, Quận 9,72.00,2.75,2.00,1
 Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,87.00,6.6,2.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,92.00,2.6,3.00,2
City Gate Towers, Võ Văn Kiệt,16, Quận 8,73.00,1.9,2.00,2
 Topaz City, Cao Lỗ,4, Quận 8,54.00,3.2,1.00,1
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,95.00,7.5,3.00,1
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,80.00,3.9,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,86.00,4.85,3.00,2
 Opal Garden,20,Hiệp Bình Chánh, Thủ Đức,97.00,2.45,3.00,2
 The Eastern, Liên Phường,Phú Hữu, Quận 9,61.00,3.1,2.00,2
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,86.00,4.9,2.00,1
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,67.00,3.2,2.00,2
 Saigon Asiana, Nguyễn Văn Luông,12, Quận 6,63.00,2.65,2.00,2
 MT Eastmark City, Trường Lưu,Long Trường, Quận 9,63.00,3.1,2.00,1
 Celadon City, N1,Sơn Kỳ, Tân Phú,71.00,2.9,2.00,1
 Saigon South Residences, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,242.00,7.5,3.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,120.00,12,2.00,3
 The Horizon Phú Mỹ Hưng, Trần Văn Trà,Tân Phú, Quận 7,150.00,9,2.00,
 Midtown Phú Mỹ Hưng, Nguyễn Lương Bằng,Tân Phú, Quận 7,131.00,6,2.00,
 Midtown Phú Mỹ Hưng, Nguyễn Lương Bằng,Tân Phú, Quận 7,77.00,10,2.00,
 Zenity, Võ Văn Kiệt,Cầu Kho, Quận 1,82.00,4.7,2.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,57.00,3.15,1.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,127.00,2.3,3.00,1
 Terra Rosa,7, Phong Phú, Bình Chánh,53.00,1.25,1.00,2
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,69.50,5.85,2.00,1
Orchard Park View, Hồng Hà,9, Phú Nhuận,65.00,2.15,2.00,2
 Green River quận 8, Phạm Thế Hiển,6, Quận 8,73.55,12,2.00,2
 Vinhomes Golden River Ba Son,,Bến Nghé, Quận 1,65.00,3.1,2.00,2
 Lavita Charm,1,"Trường Thọ, Thủ Đức",,40.00,1.95,2.00,2
 Mỹ Phước, Bùi Hữu Nghĩa,2, Bình Thạnh,83.00,2.9,3.00,1
Đường Tân Vĩnh, Tân Vĩnh,6, Quận 4,77.00,3.1,2.00,1
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,151.00,8.7,3.00,2
 Garden Plaza 1,,Tân Phong, Quận 7,68.00,2.72,2.00,2
 Sky Garden 3, Phạm Văn Nghị,Tân Phong, Quận 7,80.00,5.4,2.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,65.00,1.92,2.00,2
 Conic Riverside,,7, Quận 8,122.00,12.4,3.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,75.00,2.8,2.00,3
 Homyland Riverside, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,105.00,9.3,3.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,89.00,7.2,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,60.00,1.55,2.00,2
 Ehome 2, Đỗ Xuân Hợp,Phước Long B, Quận 9,70.00,7.35,2.00,1
 Lumiere Riverside, Xa Lộ Hà Nội,An Phú, Quận 2,70.00,7.35,2.00,2
 Lumiere Riverside, Xa Lộ Hà Nội,An Phú, Quận 2,96.00,5.05,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,59.00,3.2,2.00,2
 The Origami, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,37.00,1.7,2.00,2
 Golden King, Nguyễn Lương Bằng,Tân Phú, Quận 7,48.00,3.6,1.00,1
 Kingdom 101, Tô Hiến Thành,14, Quận 10,38.00,2.5,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,124.00,7.3,3.00,1
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,150.00,,2.00,2
 The Horizon Phú Mỹ Hưng, Trần Văn Trà,Tân Phú, Quận 7,79.50,2.05,2.00,
 Terra Rosa,7, Phong Phú, Bình Chánh,52.70,1.65,2.00,2
 Green Town Bình Tân,,Bình Hưng Hòa B, Bình Tân,129.00,2.7,3.00,1
 Phú Hoàng Anh, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,48.60,5,1.00,2
 Lumiere Riverside, Xa Lộ Hà Nội,An Phú, Quận 2,68.50,3.9,2.00,1
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,85.00,8.7,2.00,2
 Sarimi Sala,,An Lợi Đông, Quận 2,82.00,6.48,2.00,2
 Sadora Sala, Mai Chí Thọ,, Quận 2,79.00,4.6,3.00,2
 The Beverly Solari - Vinhomes Grand Park, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,66.00,1.75,2.00,2
 Conic Riverside,,"6, Quận 8",,75.00,5.2,2.00,2
New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,72.00,5.1,2.00,2
 Diamond Island,,Bình Trưng Tây, Quận 2,78.00,3.88,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,65.75,1.7,2.00,2
Phường Bình Thọ,,, Thủ Đức,86.00,6.5,2.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,138.00,5.7,3.00,2
 Imperia An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,86.00,3.65,3.00,2
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,107.00,7.9,3.00,2
 HaDo Centrosa Garden, 3/2,12, Quận 10,76.00,4,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,97.00,5.3,3.00,1
 Sky Center, Phổ Quang,2, Tân Bình,74.00,3.65,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,101.08,9.098,2.00,2
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,80.00,4.651,2.00,2
 One Verandah Mapletree, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,72.00,4.6,2.00,2
 Lumiere Boulevard, Nguyễn Xiển,Long Bình, Quận 9,140.00,7,3.00,2
The Infiniti Riviera Point, Nguyễn Văn Tưởng,Tân Phú, Quận 7,75.00,1.95,3.00,3
Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,139.00,6,3.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,80.00,5.7,2.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,62.00,1.59,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,84.00,6.8,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,80.00,5.7,2.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,62.00,1.59,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,84.00,6.8,2.00,2
Zenity, Võ Văn Kiệt,Cầu Kho, Quận 1,86.00,2.63,3.00,2
 Topaz Elite, Cao Lỗ,4, Quận 8,89.00,4.45,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,57.00,1.42,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,51.30,2.77,1.00,2
 Saigon Asiana, Nguyễn Văn Luông,12, Quận 6,138.00,6.5,3.00,
 River Garden, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,91.00,4.45,3.00,2
Diamond Lotus, Lê Quang Kim,8, Quận 8,56.00,2.1,2.00,2
 The Western Capital,,, Quận 6,79.00,3.85,2.00,1
 Diamond Lotus, Lê Quang Kim,8, Quận 8,60.62,9.7,1.00,2
 Zeit River Thủ Thiêm , Trần Bạch Đằng,An Khánh, Quận 2,110.00,3.65,3.00,1
 TDH Trường Thọ,4,Trường Thọ, Thủ Đức,107.00,7.95,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,103.00,8.8,2.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,248.00,20,5.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,258.00,27,4.00,1
 M-One Gia Định, Nguyễn Bỉnh Khiêm,1, Gò Vấp,98.00,4.5,3.00,2
 Cantavil An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,91.00,5.1,2.00,2
 The View Riviera Point,,, Quận 7,71.00,2.9,2.00,2
 Lexington Residence, Mai Chí Thọ,An Phú, Quận 2,64.00,1.8,2.00,2
Đường Tân Sơn Nhì, Tân Sơn Nhì,Tân Sơn Nhì, Tân Phú,105.00,4.8,3.00,1
 Sunny Plaza, Phạm Văn Đồng,3, Gò Vấp,49.00,2.5,1.00,2
 Diamond Lotus, Lê Quang Kim,8, Quận 8,50.00,2.65,1.00,1
 Anh Tuấn Apartment, Huỳnh Tấn Phát," Phú Xuân, Nhà Bè",,50.00,2.6,1.00,2
 Diamond Lotus, Lê Quang Kim,8, Quận 8,60.00,9,2.00,1
 Zeit River Thủ Thiêm ,,An Khánh, Quận 2,75.00,1.911,3.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,89.00,7.2,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,49.50,3.4,2.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,80.00,4.29,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,50.00,2.75,1.00,2
 Diamond Lotus, Lê Quang Kim,8, Quận 8,32.00,2,1.00,1
 Orchard Garden, Hồng Hà,9, Phú Nhuận,53.00,1.68,2.00,1
Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,80.00,4.29,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,50.00,2.75,1.00,2
 Diamond Lotus, Lê Quang Kim,8, Quận 8,32.00,2,1.00,1
 Orchard Garden, Hồng Hà,9, Phú Nhuận,53.00,1.68,2.00,1
Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,89.00,7.8,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,85.00,9,2.00,2
 Sarimi Sala,,An Lợi Đông, Quận 2,58.00,3.2,2.00,
 Diamond Lotus, Lê Quang Kim,8, Quận 8,104.00,9.315,2.00,1
 Estella Heights, Song Hành,An Phú, Quận 2,247.00,22,4.00,2
 Xi Grand Court,,14, Quận 10,148.00,12,2.00,3
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,72.00,5.8,2.00,2
 Q2 Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,31.00,3.1,1.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,135.00,6.5,3.00,1
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,123.00,11.5,2.00,3
 Estella Heights, Song Hành,An Phú, Quận 2,89.00,7.6,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,120.00,8.9,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,89.00,7.2,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,104.00,8.8,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,102.00,9,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,96.00,4.05,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,102.00,9,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,96.00,4.05,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,60.00,2.6,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,147.00,7.5,3.00,1
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,108.00,4.4,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,110.00,5.5,3.00,2
 Scenic Valley 1, Tôn Dật Tiên,Tân Phú, Quận 7,76.00,3.1,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,68.00,1.175,2.00,2
 Topaz Elite, Cao Lỗ,4, Quận 8,145.00,5.95,3.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,140.00,11.5,3.00,3
 Riverpark Premier, Nguyễn Đức Cảnh,Tân Phong, Quận 7,70.00,3.85,2.00,2
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,74.00,1.39,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,71.00,4,2.00,2
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,71.00,13.2,2.00,2
 Opal Riverside,,Hiệp Bình Chánh, Thủ Đức,87.20,8.6,2.00,2
 Sarimi Sala, Nguyễn Cơ Thạch,An Lợi Đông, Quận 2,55.00,3.2,2.00,
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,110.00,7.5,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,60.00,1.45,2.00,2
 Topaz Home, Phan Văn Hớn,Tân Thới Nhất, Quận 12,169.00,14,3.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,133.00,12,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,71.00,13.2,2.00,2
 Opal Riverside,,Hiệp Bình Chánh, Thủ Đức,87.20,8.6,2.00,2
 Sarimi Sala, Nguyễn Cơ Thạch,An Lợi Đông, Quận 2,55.00,3.2,2.00,
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,110.00,7.5,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,60.00,1.45,2.00,2
 Topaz Home, Phan Văn Hớn,Tân Thới Nhất, Quận 12,169.00,14,3.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,133.00,12,3.00,2
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,125.00,5.4,3.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,85.00,6.85,2.00,3
 Feliz En Vista, Đồng Văn Cống,Thạnh Mỹ Lợi, Quận 2,97.00,5.3,3.00,2
 Scenic Valley 2, Nguyễn Văn Linh,Tân Phú, Quận 7,100.00,5.48,3.00,2
 Happy Valley, Nguyễn Văn Linh,Tân Phong, Quận 7,216.00,15,4.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,85.00,5.1,2.00,3
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,89.00,7.452,2.00,2
 Estella Heights, Song Hành,An Phú, Quận 2,95.00,5.3,2.00,2
 M-One Gia Định, Nguyễn Bỉnh Khiêm,1, Gò Vấp,73.00,3.5,2.00,2
 , Mai Chí Thọ,An Phú, Quận 2,91.56,6.9,2.00,2
 The Infiniti Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,124.00,5.8,3.00,2
Thanh Đa View, Thanh Đa,27, Bình Thạnh,28.00,1.95,1.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,73.00,3.5,2.00,1
 , Mai Chí Thọ,An Phú, Quận 2,91.56,6.9,2.00,2
 The Infiniti Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,124.00,5.8,3.00,2
Thanh Đa View, Thanh Đa,27, Bình Thạnh,28.00,1.95,1.00,2
 River Gate, Bến Vân Đồn,6, Quận 4,90.00,3,2.00,1
 The Hyco4 Tower,,26, Bình Thạnh,68.00,2.4,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,70.00,2.5,2.00,2
 Carillon 2, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,65.00,2.6,2.00,
 Green Field, Xô Viết Nghệ Tĩnh,25, Bình Thạnh,49.00,2.5,1.00,
 D Lusso, Nguyễn Thị Định,"An Phú, Quận 2",,77.00,2.5,2.00,1
 Saigonres Plaza,,26, Bình Thạnh,90.00,5,3.00,2
 The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,54.00,2.6,1.00,2
 D’Lusso, Nguyễn Thị Định,An Phú, Quận 2,72.00,2.14,2.00,1
 Opal Riverside,,, Thành phố Thủ Đức,78.00,7.8,2.00,2
 Vinhomes Golden River Ba Son,,Đa Kao, Quận 1,90.20,7.8,3.00,2
 River Garden,,, Quận 2,50.60,2,1.00,
 Republic Plaza, Cộng Hòa,4, Tân Bình,80.00,6,2.00,1
 The Peak,,Tân Phú, Quận 7,126.00,10,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,80.00,6.15,2.00,2
 The Peak,,Tân Phú, Quận 7,73.00,3.5,2.00,2
 , Mai Chí Thọ,An Phú, Quận 2,84.00,3.9,3.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,71.00,3.2,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,75.00,3.45,2.00,2
 Samland Airport,,, Quận Gò Vấp,168.00,6.7,4.00,2
Lữ Gia Plaza, Lữ Gia,15, Quận 11,130.00,5,2.00,3
 The Peak, Nguyễn Lương Bằng,Tân Phú, Quận 7,65.00,1.62,2.00,2
 Thủ Thiêm Green House, Võ Chí Công,Thạnh Mỹ Lợi, Quận 2,73.00,2.75,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,88.00,7,2.00,
 HaDo Centrosa Garden,,, Quận 10,72.00,2.6,2.00,2
Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,81.00,2.1,2.00,2
 Bảy Hiền Tower, Phạm Phú Thứ,11, Tân Bình,64.00,2.9,2.00,2
 Centana Thủ Thiêm, Mai Chí Thọ,An Phú, Quận 2,40.00,2,1.00,2
 Masteri An Phú, Xa Lộ Hà Nội,Thảo Điền, Quận 2,75.00,3.1,2.00,1
The Harmona, Trương Công Định,14, Tân Bình,90.00,2.9,3.00,
Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,55.00,1.45,1.00,2
 Depot Metro Tham Lương, Tân Thới Nhất 17,Tân Thới Nhất, Quận 12,96.00,5.4,3.00,1
 Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,69.00,6,2.00,2
 Paris Hoàng Kim,,Bình Khánh, Quận 2,81.00,3.2,2.00,2
 The Harmona, Trương Công Định,14, Tân Bình,65.00,2.4,2.00,2
Lotus Garden, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,78.00,2.7,2.00,
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,140.00,10.6,3.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,130.00,9.5,2.00,2
 The Peak,,Tân Phú, Quận 7,66.00,2.4,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,115.00,3.6,2.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,115.00,3.5,2.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,150.00,4.2,3.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,78.00,2.7,2.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,88.00,3.5,3.00,
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,70.00,2.85,2.00,
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,80.00,5.7,2.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,63.00,1.8,2.00,
Heaven Riverview, Phạm Đức Sơn,16, Quận 8,66.00,1.67,2.00,1
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,50.00,1.43,1.00,2
 EHome 3, Hồ Học Lãm,An Lạc, Bình Tân,73.00,1.28,2.00,1
City Gate Towers, Võ Văn Kiệt,16, Quận 8,76.00,3.05,2.00,2
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,67.00,2.5,2.00,2
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,78.00,3,2.00,2
 The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,79.00,3.1,2.00,2
 The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,78.00,3.3,2.00,2
The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,75.00,4.599,2.00,2
 Lumiere Boulevard, Nguyễn Xiển,Long Bình, Quận 9,77.00,6.1,2.00,2
 One Verandah Mapletree, Bát Nàn,Thạnh Mỹ Lợi, Quận 2,64.00,1.835,2.00,2
 EHome 3, Hồ Học Lãm,An Lạc, Bình Tân,55.00,4.7,1.00,2
 Saigon Pavillon,,Võ Thị Sáu, Quận 3,107.00,6.5,3.00,1
 Botanica Premier,,, Quận Tân Bình,98.00,10,3.00,2
 Saigon Pavillon,,6, Quận 3,68.00,1.02,3.00,2
 Thủ Thiêm Green House, Võ Chí Công,Thạnh Mỹ Lợi, Quận 2,49.00,1.87,1.00,2
 Safira Khang Điền, Võ Chí Công,"Phú Hữu, Quận 9",,57.00,4.7,1.00,1
 HaDo Centrosa Garden, 3/2,12, Quận 10,36.00,1.9,2.00,1
 Botanica Premier, Hồng Hà,2, Tân Bình,87.00,3.9,2.00,2
 Satra Eximland,,1, Phú Nhuận,63.00,1.9,2.00,2
 Green Town Bình Tân, Số 8,Bình Hưng Hòa B, Bình Tân,96.00,3.5,3.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,69.00,2.5,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,69.00,2.5,2.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,50.00,1.47,1.00,2
 EHome 3, Hồ Học Lãm,An Lạc, Bình Tân,70.00,4.2,2.00,1
Xi Grand Court,,14, Quận 10,68.00,1.56,2.00,2
 M-One Nam Sài Gòn, Bế Văn Cấm,Tân Kiểng, Quận 7,86.00,1.55,3.00,
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,86.00,1.62,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,70.00,4.2,2.00,2
Xi Grand Court,,14, Quận 10,68.00,1.56,2.00,2
 M-One Nam Sài Gòn, Bế Văn Cấm,Tân Kiểng, Quận 7,86.00,1.55,3.00,
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,86.00,1.62,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,70.00,1.68,2.00,2
 Vision Bình Tân,,Tân Tạo A, Bình Tân,85.00,2.9,2.00,2
 Oriental Plaza 685 Âu Cơ,,, Quận Tân Phú,50.00,2,1.00,2
 Carillon 2, Trịnh Đình Thảo,Hòa Thạnh, Tân Phú,69.00,2.55,2.00,
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,63.00,1.92,2.00,2
 Green Town Bình Tân, Số 3,Bình Hưng Hòa B, Bình Tân,93.00,5,3.00,2
Chung cư Nguyễn Ngọc Phương, Nguyễn Ngọc Phương,19, Bình Thạnh,102.00,4.15,3.00,2
Vision Bình Tân,,Tân Tạo A, Bình Tân,49.70,1.35,1.00,2
 Vision Bình Tân,,Tân Tạo A, Bình Tân,58.00,1.7,2.00,1
 Tecco Green Nest, Phan Văn Hớn,Tân Thới Nhất, Quận 12,61.50,1.1,2.00,2
Anh Tuấn Apartment, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè,78.00,2.7,2.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,140.00,10.6,3.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,130.00,9.5,2.00,2
 The Peak,,Tân Phú, Quận 7,66.00,2.4,2.00,2
 The Western Capital, Lý Chiêu Hoàng,10, Quận 6,70.00,4.2,2.00,2
Xi Grand Court,,14, Quận 10,70.00,4.2,2.00,2
Xi Grand Court,,14, Quận 10,115.00,3.6,2.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,115.00,3.5,2.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,150.00,4.2,3.00,2
 Chánh Hưng Giai Việt,,5, Quận 8,78.00,2.7,2.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,88.00,3.5,3.00,
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,70.00,2.85,2.00,
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,80.00,5.7,2.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,63.00,1.8,2.00,
Heaven Riverview, Phạm Đức Sơn,16, Quận 8,66.00,1.67,2.00,1
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,50.00,1.43,1.00,2
 EHome 3, Hồ Học Lãm,An Lạc, Bình Tân,73.00,1.28,2.00,1
City Gate Towers, Võ Văn Kiệt,16, Quận 8,76.00,3.05,2.00,2
 Jamila Khang Điền, Song Hành,Phú Hữu, Quận 9,67.00,2.5,2.00,2
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,78.00,3,2.00,2
 The Krista, Nguyễn Duy Trinh,Bình Trưng Đông, Quận 2,79.00,3.1,2.00,2
